Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	OSHManagement	C:\Users\KTDA\source\repos\OSHManagement\OSHManagement\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Views_Shared_Components_Wizards__VerticalFormWizardContent_cshtml.g.cs	1049	
Error (active)	CS1002	; expected	OSHManagement	C:\Users\KTDA\source\repos\OSHManagement\OSHManagement\Views\Shared\Components\Wizards\_VerticalFormWizardContent.cshtml	17	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	OSHManagement	C:\Users\KTDA\source\repos\OSHManagement\OSHManagement\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Views_Shared_Components_Wizards__VerticalFormWizardContent_cshtml.g.cs	1045	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	OSHManagement	C:\Users\KTDA\source\repos\OSHManagement\OSHManagement\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Views_Shared_Components_Wizards__VerticalFormWizardContent_cshtml.g.cs	1053	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	OSHManagement	C:\Users\KTDA\source\repos\OSHManagement\OSHManagement\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Views_Shared_Components_Wizards__VerticalFormWizardContent_cshtml.g.cs	1057	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	OSHManagement	C:\Users\KTDA\source\repos\OSHManagement\OSHManagement\Views\Shared\Components\Wizards\_VerticalFormWizardContent.cshtml	17	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	OSHManagement	C:\Users\KTDA\source\repos\OSHManagement\OSHManagement\Views\Shared\Components\Wizards\_VerticalFormWizardContent.cshtml	17	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	OSHManagement	C:\Users\KTDA\source\repos\OSHManagement\OSHManagement\Views\Shared\Components\Wizards\_VerticalFormWizardContent.cshtml	17	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	OSHManagement	C:\Users\KTDA\source\repos\OSHManagement\OSHManagement\Views\Shared\Components\Wizards\_VerticalFormWizardContent.cshtml	17	
Error (active)	CS7014	Attributes are not valid in this context.	OSHManagement	C:\Users\KTDA\source\repos\OSHManagement\OSHManagement\Views\Shared\Components\Wizards\_VerticalFormWizardContent.cshtml	17	
Error (active)	RZ1034	Found a malformed 'form' tag helper. Tag helpers must have a start and end tag or be self closing.		C:\Users\KTDA\source\repos\OSHManagement\OSHManagement\Views\Shared\Components\Wizards\_VerticalFormWizardContent.cshtml	10	
Error (active)	CS1519	Invalid token ';' in a member declaration	OSHManagement	C:\Users\KTDA\source\repos\OSHManagement\OSHManagement\Views\Shared\Components\Wizards\_VerticalFormWizardContent.cshtml	17	
Error (active)	CS0201	Only assignment, call, increment, decrement, await, and new object expressions can be used as a statement	OSHManagement	C:\Users\KTDA\source\repos\OSHManagement\OSHManagement\Views\Shared\Components\Wizards\_VerticalFormWizardContent.cshtml	17	
Error (active)	RZ1025	The "form" element was not closed.  All elements must be either self-closing or have a matching end tag.		C:\Users\KTDA\source\repos\OSHManagement\OSHManagement\Views\Shared\Components\Wizards\_VerticalFormWizardContent.cshtml	10	
Error (active)	RZ1006	The if block is missing a closing "}" character.  Make sure you have a matching "}" character for all the "{" characters within this block, and that none of the "}" characters are being interpreted as markup.		C:\Users\KTDA\source\repos\OSHManagement\OSHManagement\Views\Shared\Components\Wizards\_VerticalFormWizardContent.cshtml	8	
Error (active)	CS0106	The modifier 'public' is not valid for this item	OSHManagement	C:\Users\KTDA\source\repos\OSHManagement\OSHManagement\Views\Shared\Components\Wizards\_VerticalFormWizardContent.cshtml	17	
